x1,x2,y
0.544931,0.532895,1
0.450461,0.409649,1
0.482719,0.930556,1
0.236175,0.875,1
0.203917,0.927339,1
0.123272,0.790205,1
0.441244,0.652778,0
0.321429,0.93962,1
0.814516,0.820906,1
0.448157,0.819444,1
0.77765,0.951023,1
0.374424,0.768275,0
0.346774,0.518275,0
0.58871,0.722953,0
0.300691,0.698099,0
0.349078,0.626462,0
0.517281,0.462281,1
0.980415,0.636696,0
0.8053,0.798977,1
0.648618,0.857018,0
0.812212,0.511404,0
0.10023,0.83845,1
0.604839,0.59576,1
0.756912,0.910088,1
0.975806,0.777047,1
0.637097,0.921784,1
0.445853,0.616228,0
0.464286,0.538743,0
0.464286,0.972953,1
0.657834,0.529971,1
0.657834,0.686404,0
0.948157,0.434211,1
0.367512,0.908626,1
0.461982,0.629386,0
0.268433,0.800439,0
0.591014,0.718567,0
0.3053,0.763889,0
0.766129,0.756579,1
0.637097,0.839474,0
0.634793,0.712719,0
0.602535,0.775585,0
0.332949,0.779971,0
0.199309,0.655263,0
0.554147,0.499123,1
0.192396,0.540497,1
0.150922,0.861842,1
0.759217,0.45,0
0.208525,0.582602,1
0.690092,0.725877,0
0.266129,0.93348,1
0.390553,0.936404,1
0.203917,0.891082,1
0.964286,0.472807,1
0.404378,0.500877,0
0.595622,0.733187,0
0.369816,0.693713,0
0.093318,0.701023,1
0.482719,0.818421,1
0.814516,0.832602,1
0.180876,0.693713,1
0.591014,0.958333,1
0.457373,0.411404,1
0.547235,0.705409,0
0.0702765,0.705409,1
0.429724,0.934942,1
0.351382,0.863304,0
0.662442,0.969298,1
0.192396,0.625,1
0.641705,0.66155,0
0.577189,0.796053,0
0.346774,0.565058,0
0.538018,0.572807,1
0.574885,0.946637,1
0.0679724,0.623538,1
0.213134,0.921784,1
0.687788,0.820175,0
0.729263,0.673246,0
0.256912,0.727193,0
0.0748848,0.671784,1
0.273041,0.625439,0
0.528802,0.535965,1
0.862903,0.66155,0
0.261521,0.800439,0
0.662442,0.474561,0
0.908986,0.836988,1
0.210829,0.866228,1
0.397465,0.423684,0
0.312212,0.753655,0
0.913594,0.537719,1
0.630184,0.529971,1
0.729263,0.88962,1
0.989631,0.453509,1
0.779954,0.872076,1
0.941244,0.638158,0
0.093318,0.721491,1
0.132488,0.664474,1
0.137097,0.712719,1
0.664747,0.730263,0
0.190092,0.479825,1
0.0817972,0.648392,1
0.586406,0.955409,1
0.0841014,0.86038,1
0.503456,0.914474,1
0.385945,0.608918,0
0.567972,0.927632,1
0.185484,0.58845,1
0.468894,0.764035,1
0.579493,0.737573,0
0.266129,0.706871,0
0.62788,0.47807,0
0.429724,0.967105,1
0.388249,0.645468,0
0.807604,0.488596,0
0.752304,0.633772,0
0.0979263,0.705409,1
0.252304,0.553509,1
0.233871,0.861842,1
0.782258,0.763889,1
0.233871,0.618421,0
0.475806,0.435965,1
0.558756,0.414912,0
0.551843,0.522661,1
0.593318,0.674708,0
0.547235,0.508041,1
0.427419,0.66886,0
0.563364,0.797368,0
0.784562,0.556287,0
0.418203,0.964181,1
0.206221,0.728947,0
0.669355,0.752193,0
0.46659,0.848684,1
0.830645,0.576754,0
0.226959,0.899854,1
0.229263,0.725877,0
0.153226,0.594298,1
0.422811,0.611842,0
0.584101,0.709795,0
0.41129,0.474561,0
0.975806,0.439474,1
0.160138,0.777047,1
0.46659,0.67617,0
